,Zone,Disponibilité alimentaire volailles (Kcal/personne/jour),Disponibilité de protéines (g/personne/jour),Importations volailles (milliers tonnes),Production volailles (milliers tonnes),Disponibilité alimentaire totale (Kcal/personne/jour),PIB / Habitant ($),Stabilité politique (indice),Evolution Pop % (2000-2017)
0,Afghanistan,5.0,0.54,29.0,28.0,2266.0,2058.4,-2.8,75.0
1,Afrique du Sud,143.0,14.11,514.0,1667.0,2902.0,13860.3,-0.28,27.0
2,Albanie,85.0,6.26,38.0,13.0,3314.0,12771.0,0.38,-8.0
3,Algérie,22.0,1.97,2.0,275.0,3402.0,11737.4,-0.92,33.0
4,Allemagne,71.0,7.96,842.0,1514.0,3551.0,53071.5,0.59,2.0
5,Angola,35.0,3.6,277.0,42.0,2433.0,7310.9,-0.38,82.0
6,Antigua-et-Barbuda,233.0,17.77,7.0,0.0,0.0,19840.3,0.75,25.0
7,Arabie saoudite,151.0,15.57,722.0,616.0,3306.0,47306.2,-0.64,60.0
8,Argentine,182.0,13.53,8.0,2161.0,3274.0,23597.1,0.17,19.0
9,Arménie,54.0,5.44,35.0,11.0,3065.0,12115.1,-0.62,-4.0
10,Australie,192.0,16.6,16.0,1269.0,3408.0,48398.5,0.9,29.0
11,Autriche,65.0,7.49,110.0,148.0,3681.0,54173.0,1.05,9.0
12,Azerbaïdjan,44.0,4.45,27.0,104.0,3120.0,14121.4,-0.75,21.0
13,Bahamas,182.0,14.61,24.0,6.0,0.0,35911.7,0.99,28.0
14,Bangladesh,7.0,0.47,0.0,249.0,2542.0,4894.6,-1.26,25.0
15,Barbade,199.0,15.33,2.0,15.0,2931.0,15800.4,0.97,6.0
16,Belgique,44.0,4.57,338.0,463.0,3771.0,50442.3,0.43,11.0
17,Belize,110.0,8.26,0.0,20.0,2706.0,7140.9,0.04,52.0
18,Bolivie (État plurinational de),155.0,11.43,1.0,533.0,2454.0,8423.7,-0.28,33.0
19,Bosnie-Herzégovine,56.0,5.66,10.0,61.0,3298.0,13753.8,-0.35,-11.0
20,Botswana,12.0,1.19,3.0,5.0,2547.0,15948.0,1.02,34.0
21,Brésil,204.0,15.68,3.0,14201.0,3258.0,14524.6,-0.47,19.0
22,Bulgarie,81.0,8.74,108.0,107.0,2838.0,21469.9,0.33,-11.0
23,Burkina Faso,8.0,0.77,0.0,46.0,2737.0,2044.4,-0.93,65.0
24,Bélarus,95.0,9.41,21.0,463.0,3258.0,18356.1,-0.05,-4.0
25,Bénin,37.0,4.98,123.0,18.0,2750.0,3044.5,0.03,63.0
26,Cabo Verde,62.0,6.52,12.0,1.0,2545.0,6643.2,0.77,25.0
27,Cambodge,11.0,0.74,10.0,28.0,2657.0,3928.4,0.09,32.0
28,Cameroun,11.0,1.07,0.0,81.0,2737.0,3665.1,-1.1,58.0
29,Canada,154.0,13.86,182.0,1417.0,3507.0,48317.2,1.1,20.0
30,Chili,153.0,12.21,155.0,712.0,3031.0,24411.5,0.42,20.0
31,Chine - RAS de Hong-Kong,210.0,22.26,907.0,24.0,3252.0,59842.2,0.83,11.0
32,Chine - RAS de Macao,142.0,11.9,23.0,3.0,3297.0,126144.0,1.43,46.0
35,Chypre,91.0,9.58,14.0,25.0,3043.0,38288.0,0.54,25.0
36,Colombie,111.0,9.57,78.0,1564.0,2956.0,14171.3,-0.77,23.0
37,Congo,72.0,7.45,104.0,7.0,2186.0,4234.7,-0.53,63.0
